91 1	48.75 -56.25
92 1	51.25 -56.25
93 1	53.75 -56.25
94 1	56.25 -56.25
95 1	58.75 -56.25
96 1	61.25 -56.25
97 1	63.75 -56.25
98 1	66.25 -56.25
99 1	68.75 -56.25
100 1	71.25 -56.25
101 1	73.75 -56.25
102 1	76.25 -56.25
103 1	78.75 -56.25
104 1	81.25 -56.25
105 1	83.75 -56.25
106 1	86.25 -56.25
107 1	88.75 -56.25
108 1	91.25 -56.25
109 1	93.75 -56.25
110 1	96.25 -56.25
111 1	98.75 -56.25
112 1	101.25 -56.25
113 1	103.75 -56.25
114 1	106.25 -56.25
115 1	108.75 -56.25
116 1	111.25 -56.25
117 1	113.75 -56.25
118 1	116.25 -56.25
119 1	118.75 -56.25
120 1	121.25 -56.25
121 1	123.75 -56.25
122 1	126.25 -56.25
123 1	128.75 -56.25
124 1	131.25 -56.25
125 1	133.75 -56.25
126 1	136.25 -56.25
127 1	138.75 -56.25
128 1	141.25 -56.25
129 1	143.75 -56.25
130 1	146.25 -56.25
131 1	148.75 -56.25
132 1	151.25 -56.25
133 1	153.75 -56.25
134 1	156.25 -56.25
135 1	158.75 -56.25
136 1	161.25 -56.25
137 1	163.75 -56.25
138 1	166.25 -56.25
139 1	168.75 -56.25
140 1	171.25 -56.25
141 1	173.75 -56.25
142 1	176.25 -56.25
143 1	178.75 -56.25
0 2	-178.75 -53.75
1 2	-176.25 -53.75
2 2	-173.75 -53.75
3 2	-171.25 -53.75
4 2	-168.75 -53.75
5 2	-166.25 -53.75
6 2	-163.75 -53.75
7 2	-161.25 -53.75
8 2	-158.75 -53.75
9 2	-156.25 -53.75
10 2	-153.75 -53.75
11 2	-151.25 -53.75
12 2	-148.75 -53.75
13 2	-146.25 -53.75
14 2	-143.75 -53.75
15 2	-141.25 -53.75
16 2	-138.75 -53.75
17 2	-136.25 -53.75
18 2	-133.75 -53.75
19 2	-131.25 -53.75
20 2	-128.75 -53.75
21 2	-126.25 -53.75
22 2	-123.75 -53.75
23 2	-121.25 -53.75
24 2	-118.75 -53.75
25 2	-116.25 -53.75
26 2	-113.75 -53.75
27 2	-111.25 -53.75
28 2	-108.75 -53.75
29 2	-106.25 -53.75
30 2	-103.75 -53.75
31 2	-101.25 -53.75
32 2	-98.75 -53.75
33 2	-96.25 -53.75
34 2	-93.75 -53.75
35 2	-91.25 -53.75
36 2	-88.75 -53.75
37 2	-86.25 -53.75
38 2	-83.75 -53.75
39 2	-81.25 -53.75
40 2	-78.75 -53.75
41 2	-76.25 -53.75
42 2	-73.75 -53.75
43 2	-71.25 -53.75
44 2	-68.75 -53.75
45 2	-66.25 -53.75
46 2	-63.75 -53.75
47 2	-61.25 -53.75
48 2	-58.75 -53.75
49 2	-56.25 -53.75
50 2	-53.75 -53.75
51 2	-51.25 -53.75
52 2	-48.75 -53.75
53 2	-46.25 -53.75
54 2	-43.75 -53.75
55 2	-41.25 -53.75
56 2	-38.75 -53.75
57 2	-36.25 -53.75
58 2	-33.75 -53.75
59 2	-31.25 -53.75
60 2	-28.75 -53.75
61 2	-26.25 -53.75
62 2	-23.75 -53.75
63 2	-21.25 -53.75
64 2	-18.75 -53.75
65 2	-16.25 -53.75
66 2	-13.75 -53.75
67 2	-11.25 -53.75
68 2	-8.75 -53.75
69 2	-6.25 -53.75
70 2	-3.75 -53.75
71 2	-1.25 -53.75
72 2	1.25 -53.75
73 2	3.75 -53.75
74 2	6.25 -53.75
75 2	8.75 -53.75
76 2	11.25 -53.75
77 2	13.75 -53.75
78 2	16.25 -53.75
79 2	18.75 -53.75
80 2	21.25 -53.75
81 2	23.75 -53.75
82 2	26.25 -53.75
83 2	28.75 -53.75
84 2	31.25 -53.75
85 2	33.75 -53.75
86 2	36.25 -53.75
87 2	38.75 -53.75
88 2	41.25 -53.75
89 2	43.75 -53.75
90 2	46.25 -53.75
91 2	48.75 -53.75
92 2	51.25 -53.75
93 2	53.75 -53.75
94 2	56.25 -53.75
95 2	58.75 -53.75
96 2	61.25 -53.75
97 2	63.75 -53.75
98 2	66.25 -53.75
99 2	68.75 -53.75
100 2	71.25 -53.75
101 2	73.75 -53.75
102 2	76.25 -53.75
103 2	78.75 -53.75
104 2	81.25 -53.75
105 2	83.75 -53.75
106 2	86.25 -53.75
107 2	88.75 -53.75
108 2	91.25 -53.75
109 2	93.75 -53.75
110 2	96.25 -53.75
111 2	98.75 -53.75
112 2	101.25 -53.75
113 2	103.75 -53.75
114 2	106.25 -53.75
115 2	108.75 -53.75
116 2	111.25 -53.75
117 2	113.75 -53.75
118 2	116.25 -53.75
119 2	118.75 -53.75
120 2	121.25 -53.75
121 2	123.75 -53.75
122 2	126.25 -53.75
123 2	128.75 -53.75
124 2	131.25 -53.75
125 2	133.75 -53.75
126 2	136.25 -53.75
127 2	138.75 -53.75
128 2	141.25 -53.75
129 2	143.75 -53.75
130 2	146.25 -53.75
131 2	148.75 -53.75
132 2	151.25 -53.75
133 2	153.75 -53.75
134 2	156.25 -53.75
135 2	158.75 -53.75
