"Join_Count,N,9,0","TARGET_FID,N,9,0","CLSFID,N,9,0","ADMINID,N,19,5","COUNTRYID,N,19,5","LATI,N,19,5","LENGTH,N,19,5","LONGI,N,19,5","rp00005,N,19,15","rp00010,N,19,15","rp00002,N,19,15","rp00500,N,19,15","rp00100,N,19,15","Station,C,80","rp00050,N,19,15","rp00250,N,19,15","Nr,N,10,0","rp01000,N,19,15","rp00025,N,19,15"
1,2801,2800,58,138,60.322,774.77698,6.615,1.1930185853,1.2786934647,1.0636173469,1.731169121,1.5469636487,diva_id__3719,1.4672502601,1.6519193556,4187,1.8103615877,1.3869439019
1,2802,8844,58,138,60.517,58.768,5.068,1.2579947482,1.3469540077,1.1236328626,1.8167754959,1.6255084345,diva_id__552,1.5427392018,1.7344876596,1023,1.8990038368,1.4593542679
1,2803,8859,58,138,60.431,3.165,5.513,1.1930185853,1.2786934647,1.0636173469,1.731169121,1.5469636487,diva_id__3719,1.4672502601,1.6519193556,4187,1.8103615877,1.3869439019
1,2804,8860,58,138,60.446,5.365,5.478,1.2563324629,1.3445444446,1.1230992473,1.8104193268,1.6207589517,diva_id__1705,1.5386849992,1.7288227268,2176,1.8919569312,1.4560005174
1,2805,8861,58,138,60.472,5.497,5.437,1.2563324629,1.3445444446,1.1230992473,1.8104193268,1.6207589517,diva_id__1705,1.5386849992,1.7288227268,2176,1.8919569312,1.4560005174
1,2806,8862,58,138,60.493,2.826,5.406,1.2563324629,1.3445444446,1.1230992473,1.8104193268,1.6207589517,diva_id__1705,1.5386849992,1.7288227268,2176,1.8919569312,1.4560005174
1,2807,8863,58,138,60.507,2.755,5.385,1.2563324629,1.3445444446,1.1230992473,1.8104193268,1.6207589517,diva_id__1705,1.5386849992,1.7288227268,2176,1.8919569312,1.4560005174
1,2808,8864,58,138,60.524,4.136,5.36,1.26532594,1.3549624604,1.129941136,1.8283607742,1.6356375663,diva_id__3725,1.5522381983,1.7454464675,4193,1.9112151326,1.4682184416
1,2809,8865,58,138,60.69,68.653,5.617,1.2831352729,1.3719827035,1.1489422909,1.8412135885,1.6501869651,diva_id__9193,1.56752178,1.7590291946,9661,1.9233385619,1.4842416675
1,2810,8866,58,138,60.452,3.388,5.639,1.1930185853,1.2786934647,1.0636173469,1.731169121,1.5469636487,diva_id__3719,1.4672502601,1.6519193556,4187,1.8103615877,1.3869439019
1,2811,8867,58,138,60.434,11.092,5.577,1.1930185853,1.2786934647,1.0636173469,1.731169121,1.5469636487,diva_id__3719,1.4672502601,1.6519193556,4187,1.8103615877,1.3869439019
1,2812,8868,58,138,60.062,84.656,5.543,1.1856413259,1.2704182131,1.0575963928,1.7181512943,1.5358765519,diva_id__9196,1.4569986706,1.6397321768,9664,1.7965137136,1.377534035
1,2813,2801,72,138,59.528,7.055,5.49,1.1088103816,1.1948539671,0.9788522585,1.6492768752,1.4642786654,diva_id__3735,1.3842222261,1.5696860544,4203,1.7288101506,1.3035702655
1,2814,2802,58,138,59.496,1.017,5.185,1.0378340857,1.1156673072,0.9202766952,1.5267287322,1.3593832345,diva_id__3736,1.2869658598,1.4547325462,4204,1.5986728639,1.214009789
1,2815,2803,58,138,59.691,68.969,5.417,1.1438912492,1.2323416504,1.0102979307,1.6994756998,1.5093027104,diva_id__3737,1.4270069283,1.6176585604,4205,1.7812336842,1.3440989668
1,2816,2804,72,138,59.475,3.877,5.191,1.0345816359,1.111687076,0.9181234687,1.5189048609,1.3531241314,diva_id__3738,1.2813838972,1.447581877,4206,1.5901762771,1.2091100039
1,2817,8846,58,138,59.761,120.494,5.302,1.1310309844,1.2193885442,0.9975778914,1.6860322691,1.4960588937,diva_id__9176,1.4138494928,1.6043010086,9644,1.7677044367,1.3310285551
1,2818,8858,58,138,59.97,80.33,5.339,1.1863897265,1.2730434423,1.0555100776,1.730688638,1.5443786161,diva_id__9187,1.4637545011,1.6505334431,9655,1.8107858794,1.3825306419
1,2819,2833,59,138,59.876,28.7,10.538,1.1251926165,1.2297420176,0.9672837631,1.7818998874,1.557113206,diva_id__561,1.4598386361,1.6851910787,1032,1.8785387741,1.3618404631
1,2820,2834,59,138,59.886,0.47499,10.669,1.1251926165,1.2297420176,0.9672837631,1.7818998874,1.557113206,diva_id__561,1.4598386361,1.6851910787,1032,1.8785387741,1.3618404631
1,2821,2835,62,138,59.893,14.881,10.73,1.1251926165,1.2297420176,0.9672837631,1.7818998874,1.557113206,diva_id__561,1.4598386361,1.6851910787,1032,1.8785387741,1.3618404631
1,2822,2836,62,138,59.837,0.171,10.761,1.1251926165,1.2297420176,0.9672837631,1.7818998874,1.557113206,diva_id__561,1.4598386361,1.6851910787,1032,1.8785387741,1.3618404631
1,2823,2837,59,138,59.835,0.43399,10.76,1.1251926165,1.2297420176,0.9672837631,1.7818998874,1.557113206,diva_id__561,1.4598386361,1.6851910787,1032,1.8785387741,1.3618404631
1,2824,2838,59,138,59.806,7.385,10.74,1.1251926165,1.2297420176,0.9672837631,1.7818998874,1.557113206,diva_id__561,1.4598386361,1.6851910787,1032,1.8785387741,1.3618404631
1,2825,2839,59,138,59.836,13.247,10.671,1.1251926165,1.2297420176,0.9672837631,1.7818998874,1.557113206,diva_id__561,1.4598386361,1.6851910787,1032,1.8785387741,1.3618404631
1,2826,2840,59,138,59.836,0.77899,10.623,1.1251926165,1.2297420176,0.9672837631,1.7818998874,1.557113206,diva_id__561,1.4598386361,1.6851910787,1032,1.8785387741,1.3618404631
1,2827,2841,59,138,59.691,37.306,10.584,1.1251926165,1.2297420176,0.9672837631,1.7818998874,1.557113206,diva_id__561,1.4598386361,1.6851910787,1032,1.8785387741,1.3618404631
1,2828,2842,59,138,59.521,4.832,10.655,1.1251926165,1.2297420176,0.9672837631,1.7818998874,1.557113206,diva_id__561,1.4598386361,1.6851910787,1032,1.8785387741,1.3618404631
1,2829,2843,59,138,59.502,0.508,10.668,1.1228298384,1.2270326147,0.9654445187,1.7773598508,1.5533184311,diva_id__3772,1.4563663669,1.6809716722,4240,1.8736783393,1.3586930987
1,2830,2844,59,138,59.489,3.346,10.68,1.1228298384,1.2270326147,0.9654445187,1.7773598508,1.5533184311,diva_id__3772,1.4563663669,1.6809716722,4240,1.8736783393,1.3586930987
1,2831,2845,67,138,59.449,8.334,10.675,1.120834216,1.2248783819,0.9636884574,1.7743679476,1.5506675483,diva_id__3775,1.453863058,1.6781264844,4243,1.8705398266,1.3563384613
1,2832,2822,69,138,58.636,57.12,9.125,1.0295583359,1.1279201412,0.8809950753,1.6473993956,1.4359163687,diva_id__3754,1.3443988448,1.5564141492,4222,1.7383188582,1.2522005431
1,2833,2823,61,138,59.022,102.444,9.686,1.0524619312,1.1522699805,0.9017142992,1.6793872986,1.4647947715,diva_id__3755,1.3719316372,1.5870642681,4223,1.7716435781,1.2783777155
1,2834,2829,68,138,59.007,63.343,10.028,1.0686696748,1.1704624023,0.9149244335,1.7080614226,1.4892017336,diva_id__3760,1.3944920204,1.6139025531,4228,1.8021522137,1.2990777834
1,2835,2825,68,138,59.535,55.065,10.314,1.1209340817,1.2249911362,0.9637688565,1.7745487706,1.5508206602,diva_id__559,1.4540041781,1.6782953854,1030,1.8707325631,1.3564675004
1,2836,2826,68,138,59.328,42.953,10.509,1.1052144534,1.2089213571,0.9485780874,1.7566297363,1.5336544684,diva_id__3758,1.4371637727,1.6607002426,4226,1.8524898714,1.3399553048
1,2837,2827,68,138,59.219,13.754,10.337,1.0686696748,1.1704624023,0.9149244335,1.7080614226,1.4892017336,diva_id__3760,1.3944920204,1.6139025531,4228,1.8021522137,1.2990777834
1,2838,2828,68,138,59.119,12.233,10.277,1.0686696748,1.1704624023,0.9149244335,1.7080614226,1.4892017336,diva_id__3760,1.3944920204,1.6139025531,4228,1.8021522137,1.2990777834
1,2839,2820,74,138,58.133,2.012,8.15,0.9587014548,1.0535769013,0.8154039054,1.5546436111,1.3506564382,diva_id__557,1.2623826829,1.4668832671,1028,1.6423405029,1.1734522794
1,2840,2821,69,138,58.286,101.288,8.537,0.9895647471,1.0861370133,0.8437043627,1.5961651555,1.3885297313,diva_id__3753,1.2986772256,1.5068352433,4221,1.6854304807,1.2081563277
1,2841,2805,72,138,59.442,3.884,5.201,1.0345816359,1.111687076,0.9181234687,1.5189048609,1.3531241314,diva_id__3738,1.2813838972,1.447581877,4206,1.5901762771,1.2091100039
1,2842,2806,72,138,59.421,1.498,5.213,1.039966217,1.117320832,0.923131702,1.5258545872,1.3595381185,diva_id__3740,1.2875660476,1.454301115,4208,1.5973563251,1.2150585931
1,2843,2807,72,138,59.292,693.82501,6.068,0.9383410369,1.012832194,0.8258314185,1.4062431388,1.2460832542,diva_id__3741,1.176775394,1.3373383819,4209,1.4750980765,1.1069519686
1,2844,2808,72,138,58.961,2.965,5.85,0.9060437861,0.9772730204,0.798460896,1.3534567371,1.2003101573,diva_id__555,1.1340372465,1.287569278,1026,1.4192965586,1.0672713468
1,2845,2809,72,138,58.938,6.513,5.817,0.9060437861,0.9772730204,0.798460896,1.3534567371,1.2003101573,diva_id__555,1.1340372465,1.287569278,1026,1.4192965586,1.0672713468
1,2846,2810,72,138,58.926,4.649,5.771,0.9060437861,0.9772730204,0.798460896,1.3534567371,1.2003101573,diva_id__555,1.1340372465,1.287569278,1026,1.4192965586,1.0672713468
1,2847,2811,72,138,58.958,14.108,5.709,0.9046821546,0.9752766194,0.7980580047,1.3481079215,1.1963261292,diva_id__3744,1.1306438188,1.2828076278,4212,1.413361002,1.0644729129
1,2848,2812,72,138,59.017,17.307,5.594,0.8972289571,0.9688916005,0.7889914566,1.3473642853,1.1932858533,diva_id__3745,1.1266096911,1.2810759202,4213,1.4136047229,1.0594375404
1,2849,2813,72,138,58.991,0.77499,5.54,0.8894882013,0.9615503584,0.7806472851,1.3421329991,1.1871955917,diva_id__3746,1.1201477152,1.2754750815,4214,1.408742722,1.0526010849
1,2850,2814,72,138,58.973,3.515,5.549,0.8894882013,0.9615503584,0.7806472851,1.3421329991,1.1871955917,diva_id__3746,1.1201477152,1.2754750815,4214,1.408742722,1.0526010849
1,2851,2815,72,138,58.485,145.664,5.771,0.7588854172,0.8302955056,0.6510293697,1.2074343686,1.0538989431,diva_id__3748,0.9874577626,1.1413796184,4216,1.2734413601,0.9205223415
1,2852,2816,74,138,58.154,135.343,6.588,0.8231038484,0.9081834704,0.6946016723,1.3575153873,1.1745897496,diva_id__3749,1.0954301988,1.2788162384,4217,1.4361576354,1.0156817982
1,2853,8852,72,138,59.378,78.295,5.238,1.039966217,1.117320832,0.923131702,1.5258545872,1.3595381185,diva_id__3740,1.2875660476,1.454301115,4208,1.5973563251,1.2150585931
1,2854,2817,74,138,58.026,21.704,7.095,0.8864478773,0.9762874386,0.7507564055,1.450758074,1.2575983177,diva_id__3750,1.174010037,1.3676559533,4218,1.5338001105,1.0897999624
1,2855,2818,74,138,58.013,87.175,7.576,0.9189258603,1.0110920448,0.7797203137,1.4978503007,1.2996881827,tregde,1.2139351715,1.4125960399,441,1.5830429213,1.1275442633
1,2856,2819,74,138,58.092,22.407,8.059,0.9489551672,1.0430393336,0.8068527479,1.5399270472,1.337641168,diva_id__3752,1.2501036334,1.452898642,4220,1.6268925295,1.1619149272
1,2857,174,526,148,41.919,12.819,-8.786,1.926720197,1.9919605525,1.8281827628,2.3365151394,2.1962449624,diva_id__296,2.135544208,2.2761674283,767,2.3968192182,2.0743919146
1,2858,175,526,148,41.864,8.18,-8.862,1.9175363663,1.9857138163,1.8145628164,2.345780112,2.1991950281,diva_id__357,2.1357615501,2.2827155712,828,2.4087990562,2.0718562051
1,2859,176,526,148,41.802,6.96,-8.88,1.9175363663,1.9857138163,1.8145628164,2.345780112,2.1991950281,diva_id__357,2.1357615501,2.2827155712,828,2.4087990562,2.0718562051
1,2860,177,526,148,41.738,7.304,-8.877,1.9104298759,1.9797039466,1.8058000169,2.3455618372,2.1966189613,diva_id__359,2.1321651684,2.2814829158,830,2.4095944285,2.0672319187
1,2861,178,526,148,41.68,7.258,-8.849,1.91095658,1.9804633312,1.8059752864,2.347550079,2.1981069281,diva_id__361,2.1334366455,2.2832559269,832,2.4117977454,2.0682852955
