type p1 p2 aic bic
Normal 297.088023091977 8.07748180141397 537783.266544637 537801.760554405
Weibull 45.0264872625225 300.82386460476 531305.2933082 531323.787317969
Gamma 1338.57575138111 4.50569304975473 538548.616945937 538567.110955706
Lnorm 5.69365491056826 0.0274074348430705 538953.526106119 538972.020115888
Gumbel 292.869116022928 8.63250447015526 558630.671180776 558649.165190544
