type p1 p2 aic bic
Normal 292.836100026093 6.05852084579922 493691.966717623 493710.460727392
Weibull 51.7458751578634 295.83905341181 501579.352090092 501597.846099861
Gamma 2340.39716179894 7.99222710706213 493537.056793161 493555.550802929
Lnorm 5.67939940315496 0.0206635672983293 493469.766711977 493488.260721746
Gumbel 289.869689213163 5.34580332928952 495347.51590536 495366.009915128
