type p1 p2 aic bic
Normal 303.602750671885 1.25542354757695 252398.888616159 252417.382625927
Weibull 221.800042097604 304.237417511111 272739.942354233 272758.436364002
Gamma 58513.5788296528 192.730779902009 252339.423732367 252357.917742136
Lnorm 5.71571156270427 0.00413273426537763 252310.360565541 252328.85457531
Gumbel 302.990134191789 1.17284179290755 257808.70887834 257827.202888108
