type p1 p2 aic bic
Normal 303.002555068493 3.8589576913278 424543.155461385 424561.649471153
Weibull 92.414948478705 304.824573458461 421437.528906605 421456.022916373
Gamma 6140.3917931983 20.2651107495917 424832.478117136 424850.972126904
Lnorm 5.71365982093741 0.0127732784198179 424982.020930253 425000.514940022
Gumbel 301.002606558147 4.03827709279892 443228.022434111 443246.51644388
