type p1 p2 aic bic
Normal 299.364120678408 1.22728651562625 248923.982907794 248942.476917563
Weibull 220.241663182644 299.981780681482 270196.12575687 270214.619766639
Gamma 59498.7129202145 198.75031378303 248887.243955441 248905.73796521
Lnorm 5.70165222775811 0.00409822647520207 248869.655586211 248888.14959598
Gumbel 298.758112594958 1.22546845018309 260326.937578343 260345.431588112
