type p1 p2 aic bic
Normal 297.762923131115 2.87874452075905 379619.686548945 379638.180558714
Weibull 93.5122033894431 299.244614438737 402629.968790195 402648.462799963
Gamma 10730.1678850227 36.0359766460488 379404.556591471 379423.05060124
Lnorm 5.69625100305909 0.00964828306875848 379301.042450377 379319.536460145
Gumbel 296.379684372201 2.68876719205322 383832.542701817 383851.036711586
