type p1 p2 aic bic
Normal 288.667662778865 8.79174892091565 550772.911067719 550791.405077487
Weibull 37.0400833564042 292.907643431287 553441.047617596 553459.541627365
Gamma 1075.88146535911 3.72701499749638 550866.282613037 550884.776622806
Lnorm 5.66481135247878 0.0305027329033729 550935.209389449 550953.703399217
Gumbel 284.270052947122 8.17513451154792 557800.071088758 557818.565098526
