type p1 p2 aic bic
Normal 304.828436712329 1.45604356450229 275125.593111511 275144.087121279
Weibull 194.813836622281 305.568958824986 294729.014273296 294747.508283064
Gamma 43852.4692105029 143.859550214206 275064.916663319 275083.410673088
Lnorm 5.71973771661715 0.00477384946411689 275035.538959611 275054.03296938
Gumbel 304.115563806385 1.39874763716034 282897.176939222 282915.67094899
