type p1 p2 aic bic
Normal 295.701613046314 4.34244090378402 442638.609490078 442657.103499847
Weibull 73.5023287649936 297.841879196628 449149.474247236 449167.968257005
Gamma 4637.02624009005 15.6814370821974 442629.146732146 442647.640741915
Lnorm 5.6892430480584 0.0146859987787801 442630.290621157 442648.784630926
Gumbel 293.542798250934 4.05782294688907 449565.898985448 449584.392995217
