type p1 p2 aic bic
Normal 295.752845335943 3.57615689362487 412875.739511363 412894.233521132
Weibull 88.9523838883394 297.512792356197 419372.215692389 419390.709702158
Gamma 6839.50600357243 23.1257487846093 412895.846559872 412914.340569641
Lnorm 5.68945099077602 0.012095308341656 412910.173518497 412928.667528266
Gumbel 293.96691140652 3.42544647198656 421986.511877151 422005.005886919
