; cat();
1; "Transition Risk";"Policy & Legal"
2; "Transition Risk";"Technology"
3; "Transition Risk";"Market"
4; "Transition Risk";"Reputation"
5; "Physical Risk";"Acute"
6; "Physical Risk";"Chronic"
7; "Opportunity";"Resource Efficiency"
8; "Opportunity";"Energy Source"
9; "Opportunity";"Resilience"
