"2020" "2030" "2040" "2050" "2060" "2070" "2080" "2090" "2100"
"0.3_-_MED" 0.07 0.07 0.07 0.07 0.08 0.08 0.08 0.08 0.09
"0.5_-_MED" 0.07 0.07 0.07 0.08 0.08 0.09 0.09 0.09 0.1
"1.0_-_MED" 0.07 0.07 0.08 0.09 0.1 0.11 0.12 0.14 0.17
"1.5_-_MED" 0.07 0.08 0.09 0.1 0.12 0.14 0.18 0.25 0.36
"2.0_-_MED" 0.07 0.08 0.1 0.12 0.16 0.21 0.32 0.52 1.05
"2.5_-_MED" 0.08 0.08 0.1 0.14 0.19 0.3 0.51 1.03 2.81
