"2020" "2030" "2040" "2050" "2060" "2070" "2080" "2090" "2100"
"0.3_-_MED" 0.02 0.02 0.02 0.03 0.03 0.03 0.04 0.04 0.05
"0.5_-_MED" 0.02 0.02 0.02 0.03 0.04 0.04 0.05 0.06 0.07
"1.0_-_MED" 0.02 0.03 0.03 0.05 0.07 0.12 0.21 0.39 0.86
"1.5_-_MED" 0.02 0.03 0.05 0.08 0.17 0.43 1.43 6.97 76.26
"2.0_-_MED" 0.03 0.04 0.07 0.16 0.49 2.34 27.41 100 100
"2.5_-_MED" 0.03 0.05 0.09 0.26 1.23 12.9 100 100 NA
