"2020" "2030" "2040" "2050" "2060" "2070" "2080" "2090" "2100"
"0.3_-_MED" 0.14 0.17 0.21 0.25 0.3 0.34 0.41 0.47 0.56
"0.5_-_MED" 0.15 0.19 0.24 0.3 0.39 0.49 0.65 0.82 1.05
"1.0_-_MED" 0.19 0.26 0.38 0.59 1.11 2.21 5.39 14.91 58.22
"1.5_-_MED" 0.22 0.34 0.62 1.29 3.95 17.28 100 100 100
"2.0_-_MED" 0.25 0.47 1.05 3.5 21.68 100 100 NA NA
"2.5_-_MED" 0.26 0.56 1.51 7.44 100 100 NA NA NA
