"2020" "2030" "2040" "2050" "2060" "2070" "2080" "2090" "2100"
"0.3_-_MED" 10.44 13.86 21.68 29.69 44.89 58.22 83.64 100 100
"0.5_-_MED" 12.02 17.28 27.41 44.89 76.26 100 100 100 100
"1.0_-_MED" 17.28 32.19 69.62 100 100 100 100 100 NA
"1.5_-_MED" 23.42 58.22 100 100 100 100 NA NA NA
"2.0_-_MED" 29.69 100 100 100 100 NA NA NA NA
"2.5_-_MED" 32.19 100 100 100 NA NA NA NA NA
