"impactbyperiod impactbyperiod_relative2baseperiod"
"-14.3772133570736 0"
"-18.7529895226054 -4.37577616553179"
"-23.6565742252893 -9.27936086821568"
"-28.885918503989 -14.5087051469154"
"-34.2667232557094 -19.8895098986358"
"-39.6696938513548 -25.2924804942812"
"-44.9751022926027 -30.597888935529"
"-50.0433066486276 -35.666093291554"
"-54.7237258220489 -40.3465124649753"
