"2020" "2030" "2040" "2050" "2060" "2070" "2080" "2090" "2100"
"0.3_-_MED" 0 0 0 0 0 0 0 0 0
"0.5_-_MED" 0 0 0 0 0 0 0 0 0
"1.0_-_MED" 0 0 0 0 0 0 0 0 0
"1.5_-_MED" 0 0 0 0 0 0 0 0 0
"2.0_-_MED" 0 0 0 0 0 0 0 0 0
"2.5_-_MED" 0 0 0 0 0 0 0 0 0
